model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B-FP8,4000,1000,0,24,1.632,24,24,523.38,14.107,14616.519,1.632,0.408,1630.377,407.594,70.886,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,16.147,0.012,2.0,22.0,8022.0,8000,22.0,vllm,0.19.0,h200_sxm,0.0,407.594
Qwen/Qwen3-32B-FP8,4000,1000,0,20,1.371,20,20,501.755,13.984,14471.803,1.371,0.343,1370.124,342.531,71.51,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,15.536,0.01,2.0,18.0,8018.0,8000,18.0,vllm,0.19.0,h200_sxm,0.0,342.531
Qwen/Qwen3-32B-FP8,4000,1000,0,16,1.237,16,16,290.534,12.644,12922.333,1.237,0.309,1235.677,308.919,79.086,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,14.621,0.016,1.0,15.0,4015.0,4000,15.0,vllm,0.19.0,h200_sxm,0.0,308.919
Qwen/Qwen3-32B-FP8,4000,1000,0,16,1.233,16,16,479.371,12.375,12841.541,1.233,0.308,1231.757,307.939,80.811,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,14.926,0.008,2.0,14.0,8014.0,8000,14.0,vllm,0.19.0,h200_sxm,0.0,307.939
Qwen/Qwen3-32B-FP8,4000,1000,0,12,1.03,12,12,266.804,11.362,11617.666,1.03,0.257,1028.586,257.146,88.011,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,14.01,0.012,1.0,11.0,4011.0,4000,11.0,vllm,0.19.0,h200_sxm,0.0,257.146
Qwen/Qwen3-32B-FP8,4000,1000,0,12,1.027,12,12,456.331,11.081,11526.117,1.027,0.257,1025.986,256.497,90.246,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,14.315,0.006,2.0,10.0,8010.0,8000,10.0,vllm,0.19.0,h200_sxm,0.0,256.497
Qwen/Qwen3-32B-FP8,4000,1000,0,8,0.76,8,8,243.366,10.231,10464.336,0.76,0.19,759.335,189.834,97.74,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,13.399,0.008,1.0,7.0,4007.0,4000,7.0,vllm,0.19.0,h200_sxm,0.0,189.834
Qwen/Qwen3-32B-FP8,4000,1000,0,8,0.759,8,8,433.448,9.94,10363.41,0.759,0.19,757.938,189.485,100.605,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,13.704,0.004,2.0,6.0,8006.0,8000,6.0,vllm,0.19.0,h200_sxm,0.0,189.485
Qwen/Qwen3-32B-FP8,4000,1000,0,12,1.168,12,12,295.968,9.888,10173.761,1.168,0.146,1167.17,145.896,101.136,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,9.405,0.006,2.0,10.0,8010.0,8000,10.0,vllm,0.19.0,h200_sxm,0.0,145.896
Qwen/Qwen3-32B-FP8,4000,1000,0,8,0.884,8,8,280.68,8.666,8938.159,0.884,0.11,883.006,110.376,115.392,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,9.099,0.004,2.0,6.0,8006.0,8000,6.0,vllm,0.19.0,h200_sxm,0.0,110.376
Qwen/Qwen3-32B-FP8,4000,1000,0,4,0.507,4,4,265.633,7.766,8023.798,0.507,0.063,506.182,63.273,128.768,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,8.794,0.002,2.0,2.0,8002.0,8000,2.0,vllm,0.19.0,h200_sxm,0.0,63.273
Qwen/Qwen3-32B-FP8,4000,1000,0,4,0.505,4,4,162.055,7.709,7863.193,0.505,0.063,504.362,63.045,129.721,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,8.488,0.004,1.0,3.0,4003.0,4000,3.0,vllm,0.19.0,h200_sxm,0.0,63.045
Qwen/Qwen3-32B-FP8,4000,1000,0,1,0.134,1,1,147.976,7.403,7543.736,0.134,0.017,133.67,16.709,135.077,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,8.259,0.001,1.0,1.0,4000.0,4000,1.0,vllm,0.19.0,h200_sxm,0.0,16.709
